Signal,State,Switch time,Type,Script
N13368,ON,1,2 Aspect,CLEAR = [ ROUTE R4211 SET ];

N13369,ON,1,2 Aspect,CLEAR = [ ROUTE R4209 SET ];
CLEAR = [ ROUTE R4237 SET ];

N13386,ON,1,2 Aspect,CLEAR = [ ROUTE R4197 SET ];

N13387,ON,1,2 Aspect,CLEAR = [ ROUTE R4186 SET ];

N13605,ON,1,2 Aspect,CLEAR = [ ROUTE R4238 SET ];
CLEAR = [ TRACKCIRCUIT TC4277 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC4277 ROUTE_LOCKED_DOWN ];

N13608,ON,1,2 Aspect,CLEAR = [ ROUTE R4212 SET ];
CLEAR = [ ROUTE R4239 SET ];

N13619,ON,1,2 Aspect,CLEAR = [ ROUTE R4214 SET ];

N13621,ON,1,2 Aspect,CLEAR = [ ROUTE R4217 SET ];

N13623,ON,1,2 Aspect,CLEAR = [ ROUTE R4210 SET ];

N13626,ON,1,2 Aspect,CLEAR = [ ROUTE R4240 SET ];
CLEAR = [ TRACKCIRCUIT TC4290 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC4290 ROUTE_LOCKED_DOWN ];

N13637,ON,1,2 Aspect,CLEAR = [ ROUTE R4236 SET ];
CLEAR = [ TRACKCIRCUIT TC4297 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC4297 ROUTE_LOCKED_DOWN ];

N13641,ON,1,2 Aspect,CLEAR = [ ROUTE R4216 SET ];

N13643,ON,1,2 Aspect,CLEAR = [ ROUTE R4207 SET ];

N13647,ON,1,2 Aspect,CLEAR = [ ROUTE R4208 SET ];

N13657,ON,1,2 Aspect,CLEAR = [ ROUTE R4213 SET ];
CLEAR = [ ROUTE R4235 SET ];

N13661,ON,1,2 Aspect,CLEAR = [ ROUTE R4215 SET ];

N13663,ON,1,2 Aspect,CLEAR = [ ROUTE R4221 SET ];

N13666,ON,1,2 Aspect,CLEAR = [ ROUTE R4220 SET ];

N13677,ON,1,2 Aspect,CLEAR = [ ROUTE R4219 SET ];

N13681,ON,1,2 Aspect,CLEAR = [ ROUTE R4218 SET ];

N13683,ON,1,2 Aspect,CLEAR = [ ROUTE R4223 SET ];

N13687,ON,1,2 Aspect,CLEAR = [ ROUTE R4222 SET ];

N13705,ON,1,2 Aspect,CLEAR = [ ROUTE R4225 SET ];

N13709,ON,1,2 Aspect,CLEAR = [ ROUTE R4226 SET ];

N13711,ON,1,2 Aspect,CLEAR = [ ROUTE R4224 SET ];

N13715,ON,1,2 Aspect,CLEAR = [ ROUTE R4254 SET ];

N13729,ON,1,2 Aspect,CLEAR = [ ROUTE R4229 SET ];

N13730,ON,1,2 Aspect,CLEAR = [ ROUTE R4230 SET ];

N13837,ON,1,2 Aspect,CLEAR = [ ROUTE R4227 SET ];

N13842,ON,1,2 Aspect,CLEAR = [ ROUTE R4228 SET ];

N13843,ON,1,2 Aspect,CLEAR = [ ROUTE R4233 SET ];

N13848,ON,1,2 Aspect,CLEAR = [ ROUTE R4234 SET ];

N13857,ON,1,2 Aspect,CLEAR = [ ROUTE R4231 SET ];

N13861,ON,1,2 Aspect,CLEAR = [ ROUTE R4232 SET ];

N13863,ON,1,2 Aspect,CLEAR = [ ROUTE R4244 SET ];

N13866,ON,1,2 Aspect,CLEAR = [ ROUTE R4245 SET ];

N13875,ON,1,2 Aspect,CLEAR = [ ROUTE R4242 SET ];

N13880,ON,1,2 Aspect,CLEAR = [ ROUTE R4243 SET ];

N13881,ON,1,2 Aspect,CLEAR = [ ROUTE R4250 SET ];

N13883,ON,1,2 Aspect,CLEAR = [ ROUTE R4251 SET ];

N13915,ON,1,2 Aspect,CLEAR = [ ROUTE R4246 SET ];
CLEAR = [ ROUTE R4247 SET ];
CLEAR = [ ROUTE R4248 SET ];
CLEAR = [ ROUTE R4249 SET ];

N13936,ON,1,2 Aspect,CLEAR = [ ROUTE R4252 SET ];

N13947,ON,1,2 Aspect,CLEAR = [ ROUTE R5073 SET ];

N13949,ON,1,2 Aspect,CLEAR = [ ROUTE R4253 SET ];

N17899,ON,1,2 Aspect,CLEAR = [ ROUTE R4787 SET ];

N17900,ON,1,2 Aspect,CLEAR = [ ROUTE R4830 SET ];

N17905,ON,1,2 Aspect,CLEAR = [ ROUTE R4725 SET ];

N17906,ON,1,2 Aspect,CLEAR = [ ROUTE R4763 SET ];

N17911,ON,1,2 Aspect,CLEAR = [ ROUTE R4786 SET ];

N17912,ON,1,2 Aspect,CLEAR = [ ROUTE R4829 SET ];

N17917,ON,1,2 Aspect,CLEAR = [ ROUTE R4764 SET ];

N17918,ON,1,2 Aspect,CLEAR = [ ROUTE R4726 SET ];

N17923,ON,1,2 Aspect,CLEAR = [ ROUTE R4785 SET ];

N17924,ON,1,2 Aspect,CLEAR = [ ROUTE R4828 SET ];

N17929,ON,1,2 Aspect,CLEAR = [ ROUTE R4765 SET ];
CLEAR = [ ROUTE R4895 SET ];

N17930,ON,1,2 Aspect,CLEAR = [ ROUTE R4727 SET ];

N17940,ON,1,2 Aspect,CLEAR = [ ROUTE R4897 SET ];

N17950,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5771 CLEAR ];

N17953,ON,1,2 Aspect,CLEAR = [ ROUTE R4784 SET ];

N17954,ON,1,2 Aspect,CLEAR = [ ROUTE R4826 SET ];
CLEAR = [ ROUTE R4827 SET ];

N17958,ON,1,2 Aspect,CLEAR = [ ROUTE R4933 SET ];

N17962,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5793 CLEAR ];

N17965,ON,1,2 Aspect,CLEAR = [ ROUTE R4825 SET ];

N17976,ON,1,2 Aspect,CLEAR = [ ROUTE R4728 SET ];
CLEAR = [ ROUTE R4998 SET ];

N17977,ON,1,2 Aspect,CLEAR = [ ROUTE R4975 SET ];

N17982,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5808 CLEAR ];

N17984,ON,1,2 Aspect,CLEAR = [ ROUTE R4901 SET ];

N17993,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5814 CLEAR ];

N17995,ON,1,2 Aspect,CLEAR = [ ROUTE R4903 SET ];
CLEAR = [ ROUTE R4978 SET ];

N17996,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5821 CLEAR ];

N18017,ON,1,2 Aspect,CLEAR = [ ROUTE R4900 SET ];
CLEAR = [ ROUTE R4931 SET ];
CLEAR = [ ROUTE R4932 SET ];

N18033,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5849 CLEAR ];

N18037,ON,1,2 Aspect,CLEAR = [ ROUTE R4783 SET ];
CLEAR = [ ROUTE R4824 SET ];

N18041,ON,1,2 Aspect,CLEAR = [ ROUTE R4729 SET ];

N18042,ON,1,2 Aspect,CLEAR = [ ROUTE R4766 SET ];

N18047,ON,1,2 Aspect,CLEAR = [ ROUTE R4730 SET ];

N18048,ON,1,2 Aspect,CLEAR = [ ROUTE R4767 SET ];

N18281,ON,1,2 Aspect,CLEAR = [ ROUTE R5118 SET ];

N18285,ON,1,2 Aspect,CLEAR = [ ROUTE R4731 SET ];

N18286,ON,1,2 Aspect,CLEAR = [ ROUTE R4768 SET ];

N18291,ON,1,2 Aspect,CLEAR = [ ROUTE R4769 SET ];

N18292,ON,1,2 Aspect,CLEAR = [ ROUTE R4732 SET ];

N18296,ON,1,2 Aspect,CLEAR = [ ROUTE R4782 SET ];

N18300,ON,1,2 Aspect,CLEAR = [ ROUTE R4733 SET ];

N18301,ON,1,2 Aspect,CLEAR = [ ROUTE R4770 SET ];

N18305,ON,1,2 Aspect,CLEAR = [ ROUTE R4781 SET ];

N18308,ON,1,2 Aspect,CLEAR = [ ROUTE R4780 SET ];

N18312,ON,1,2 Aspect,CLEAR = [ ROUTE R4734 SET ];

N18313,ON,1,2 Aspect,CLEAR = [ ROUTE R4771 SET ];

N18317,ON,1,2 Aspect,CLEAR = [ ROUTE R4846 SET ];

N18321,ON,1,2 Aspect,CLEAR = [ ROUTE R4735 SET ];

N18322,ON,1,2 Aspect,CLEAR = [ ROUTE R4772 SET ];

N18328,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5898 CLEAR ];

N18349,ON,1,2 Aspect,CLEAR = [ ROUTE R4823 SET ];

N18350,ON,1,2 Aspect,CLEAR = [ ROUTE R4779 SET ];

N18356,ON,1,2 Aspect,CLEAR = [ ROUTE R4736 SET ];

N18357,ON,1,2 Aspect,CLEAR = [ ROUTE R4773 SET ];

N18362,ON,1,2 Aspect,CLEAR = [ ROUTE R4778 SET ];

N18363,ON,1,2 Aspect,CLEAR = [ ROUTE R4822 SET ];

N18369,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC5914 CLEAR ];

N18439,ON,1,2 Aspect,CLEAR = [ ROUTE R4774 SET ];
CLEAR = [ ROUTE R4965 SET ];

N18440,ON,1,2 Aspect,CLEAR = [ ROUTE R4737 SET ];

N18446,ON,1,2 Aspect,CLEAR = [ ROUTE R4926 SET ];

N18449,ON,1,2 Aspect,CLEAR = [ ROUTE R4777 SET ];
CLEAR = [ ROUTE R4821 SET ];

N18452,ON,1,2 Aspect,CLEAR = [ ROUTE R4913 SET ];

N18455,ON,1,2 Aspect,CLEAR = [ ROUTE R4919 SET ];

N18456,ON,1,2 Aspect,CLEAR = [ ROUTE R4917 SET ];

N18471,ON,1,2 Aspect,CLEAR = [ ROUTE R4738 SET ];

N18474,ON,1,2 Aspect,CLEAR = [ ROUTE R4921 SET ];

N18477,ON,1,2 Aspect,CLEAR = [ ROUTE R4776 SET ];

N18480,ON,1,2 Aspect,CLEAR = [ ROUTE R4739 SET ];

N18490,ON,1,2 Aspect,CLEAR = [ ROUTE R4775 SET ];

N18493,ON,1,2 Aspect,CLEAR = [ ROUTE R4968 SET ];

N18497,ON,1,2 Aspect,CLEAR = [ ROUTE R4918 SET ];

N18498,ON,1,2 Aspect,CLEAR = [ ROUTE R4920 SET ];

N18500,ON,1,2 Aspect,CLEAR = [ ROUTE R4966 SET ];

N18521,ON,1,2 Aspect,CLEAR = [ ROUTE R4967 SET ];

N18575,ON,1,2 Aspect,CLEAR = [ ROUTE R4973 SET ];

N18578,ON,1,2 Aspect,CLEAR = [ ROUTE R4969 SET ];

N18581,ON,1,2 Aspect,CLEAR = [ ROUTE R4972 SET ];

N18584,ON,1,2 Aspect,CLEAR = [ ROUTE R4970 SET ];

N18588,ON,1,2 Aspect,CLEAR = [ ROUTE R4971 SET ];

N18591,ON,1,2 Aspect,CLEAR = [ ROUTE R4974 SET ];

N18593,ON,1,2 Aspect,CLEAR = [ ROUTE R5077 SET ];
CLEAR = [ ROUTE R5078 SET ];

N18596,ON,1,2 Aspect,CLEAR = [ ROUTE R4977 SET ];
CLEAR = [ ROUTE R4979 SET ];
CLEAR = [ ROUTE R4980 SET ];
CLEAR = [ ROUTE R4981 SET ];
CLEAR = [ ROUTE R4982 SET ];

N19056,ON,1,2 Aspect,CLEAR = [ ROUTE R4914 SET ];

N19058,ON,1,2 Aspect,CLEAR = [ ROUTE R4905 SET ];
CLEAR = [ ROUTE R4912 SET ];
CLEAR = [ ROUTE R4923 SET ];

N19175,ON,1,2 Aspect,CLEAR = [ ROUTE R5089 SET ];
CLEAR = [ ROUTE R5090 SET ];

N19183,ON,1,2 Aspect,CLEAR = [ ROUTE R5091 SET ];

N19189,ON,1,2 Aspect,CLEAR = [ ROUTE R5093 SET ];

N19193,ON,1,2 Aspect,CLEAR = [ ROUTE R5097 SET ];
CLEAR = [ ROUTE R5098 SET ];

N19198,ON,1,2 Aspect,CLEAR = [ ROUTE R5105 SET ];
CLEAR = [ ROUTE R5106 SET ];
CLEAR = [ ROUTE R5236 SET ];

N19201,ON,1,2 Aspect,CLEAR = [ ROUTE R5109 SET ];
CLEAR = [ ROUTE R5237 SET ];

N19215,ON,1,2 Aspect,CLEAR = [ ROUTE R5111 SET ];

N19227,ON,1,2 Aspect,CLEAR = [ ROUTE R5114 SET ];

N19235,ON,1,2 Aspect,CLEAR = [ ROUTE R5117 SET ];

N19249,ON,1,2 Aspect,CLEAR = [ ROUTE R5119 SET ];

N19300,ON,1,2 Aspect,CLEAR = [ ROUTE R5150 SET ];

N19318,ON,1,2 Aspect,CLEAR = [ ROUTE R5159 SET ];
CLEAR = [ ROUTE R5160 SET ];
CLEAR = [ ROUTE R5241 SET ];
CLEAR = [ TRACKCIRCUIT TC3179 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC3179 ROUTE_LOCKED_DOWN ];

N19399,ON,1,2 Aspect,CLEAR = [ ROUTE R5194 SET ];
CLEAR = [ ROUTE R5196 SET ];
CLEAR = [ ROUTE R5197 SET ];
CLEAR = [ ROUTE R5198 SET ];

N19409,ON,1,2 Aspect,CLEAR = [ ROUTE R5203 SET ];
CLEAR = [ ROUTE R5204 SET ];
CLEAR = [ ROUTE R5245 SET ];

N19425,ON,1,2 Aspect,CLEAR = [ ROUTE R5190 SET ];
CLEAR = [ ROUTE RG7278 SET ];

N19426,ON,1,2 Aspect,CLEAR = [ ROUTE R5189 SET ];
CLEAR = [ ROUTE R5265 SET ];
CLEAR = [ ROUTE R5266 SET ];
CLEAR = [ ROUTE R5267 SET ];
CLEAR = [ ROUTE R5268 SET ];

N19427,ON,1,2 Aspect,CLEAR = [ ROUTE R5199 SET ];
CLEAR = [ ROUTE R5264 SET ];
CLEAR = [ TRACKCIRCUIT TC6098 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC6098 ROUTE_LOCKED_DOWN ];

N19428,ON,1,2 Aspect,CLEAR = [ ROUTE R5191 SET ];
CLEAR = [ ROUTE R5192 SET ];
CLEAR = [ ROUTE R5193 SET ];
CLEAR = [ ROUTE R5195 SET ];
CLEAR = [ TRACKCIRCUIT TC6101 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC6101 ROUTE_LOCKED_DOWN ];

N19429,ON,1,2 Aspect,CLEAR = [ ROUTE R5263 SET ];

N19430,ON,1,2 Aspect,CLEAR = [ ROUTE R5201 SET ];
CLEAR = [ ROUTE R5202 SET ];

N19431,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC6104 CLEAR ];

N19432,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC6103 CLEAR ];

N19433,ON,1,2 Aspect,CLEAR = [ ROUTE R5206 SET ];

N19434,ON,1,2 Aspect,CLEAR = [ ROUTE R5205 SET ];

N19435,ON,1,2 Aspect,CLEAR = [ ROUTE R5247 SET ];

N19436,ON,1,2 Aspect,CLEAR = [ ROUTE R5184 SET ];

N19437,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC6106 CLEAR ];

N19438,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC6107 CLEAR ];

N19441,ON,1,2 Aspect,CLEAR = [ ROUTE R5210 SET ];
CLEAR = [ ROUTE R5211 SET ];

N19444,ON,1,2 Aspect,CLEAR = [ ROUTE R5220 SET ];
CLEAR = [ ROUTE R5221 SET ];
CLEAR = [ ROUTE R5222 SET ];
CLEAR = [ ROUTE R5223 SET ];
CLEAR = [ ROUTE R5228 SET ];
CLEAR = [ TRACKCIRCUIT TC6115 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC6115 ROUTE_LOCKED_DOWN ];

N19445,ON,1,2 Aspect,CLEAR = [ ROUTE R5253 SET ];
CLEAR = [ ROUTE R5257 SET ];
CLEAR = [ ROUTE R5258 SET ];
CLEAR = [ ROUTE R5269 SET ];
CLEAR = [ ROUTE R5270 SET ];
CLEAR = [ ROUTE R5271 SET ];
CLEAR = [ ROUTE R5272 SET ];

N19446,ON,1,2 Aspect,CLEAR = [ ROUTE R5214 SET ];
CLEAR = [ ROUTE R5246 SET ];
CLEAR = [ ROUTE R5248 SET ];
CLEAR = [ ROUTE R5256 SET ];
CLEAR = [ TRACKCIRCUIT TC6116 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC6116 ROUTE_LOCKED_DOWN ];

N19447,ON,1,2 Aspect,CLEAR = [ ROUTE R5217 SET ];

N19448,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC6109 CLEAR ];

N19451,ON,1,2 Aspect,CLEAR = [ ROUTE R5207 SET ];

N19456,ON,1,2 Aspect,CLEAR = [ ROUTE R5218 SET ];
CLEAR = [ ROUTE R5219 SET ];

N19457,ON,1,2 Aspect,CLEAR = [ ROUTE R5216 SET ];
CLEAR = [ ROUTE R5224 SET ];
CLEAR = [ ROUTE R5227 SET ];

N19463,ON,1,2 Aspect,CLEAR = [ ROUTE R5234 SET ];
CLEAR = [ ROUTE R5235 SET ];

N19464,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC6121 CLEAR ];

N19468,ON,1,2 Aspect,CLEAR = [ ROUTE R3880 SET ];

N19469,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3225 CLEAR ];

N19470,ON,1,2 Aspect,CLEAR = [ ROUTE R5225 SET ];

N19471,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3226 CLEAR ];

N19472,ON,1,2 Aspect,CLEAR = [ ROUTE R5215 SET ];

N19475,ON,1,2 Aspect,CLEAR = [ ROUTE R5288 SET ];
CLEAR = [ ROUTE R7254 SET ];

N19476,ON,1,2 Aspect,CLEAR = [ ROUTE R5287 SET ];
CLEAR = [ TRACKCIRCUIT TC6125 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC6125 ROUTE_LOCKED_DOWN ];

N19477,ON,1,2 Aspect,CLEAR = [ ROUTE R5290 SET ];
CLEAR = [ TRACKCIRCUIT TC2759 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC2759 ROUTE_LOCKED_DOWN ];

N19478,ON,1,2 Aspect,CLEAR = [ ROUTE R3831 SET ];
CLEAR = [ ROUTE R5291 SET ];

